,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
0,4 Rough Riders Ct,"Cold Spring Harbor, NY 11724",2195000,1,,,4.0,4.0,3.0,,Hardwood,2.0,"Private,Attached",,1967.0,,Residential,Single Family Residence,,A,Active,,3290965,"Goosehill Primary Center, West Side School",Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,1.52,0002,13,,36007.0
1,27 Glen Way,"Cold Spring Harbor, NY 11724",2199000,6,,,4.0,3.0,2.0,,Hardwood,2.0,"Private,Attached",,1992.0,,Residential,Single Family Residence,,A,Active,,3289891,"Goosehill Primary Center, Lloyd Harbor School",Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,0.34,300,10004,,25169.0
2,300 Lawrence Hill Rd,"Cold Spring Harbor, NY 11724",7300000,99,,,8.0,14.0,10.0,,"Hardwood, Wall To Wall Carpet",4.0,"Private,Attached",,1910.0,,Residential,Single Family Residence,,A,Active,,3075014,West Side School,Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,5.44,100,10005,,138026.0
3,19 Carnegie Ave,"Cold Spring Harbor, NY 11724",1395000,39,,,4.0,3.0,2.0,,"Hardwood, Wall To Wall Carpet",2.0,"Private,Attached",,1938.0,,Residential,Single Family Residence,,A,Active,,3282770,"Goosehill Primary Center, Lloyd Harbor School",Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,0.45,0003,14,S0400-066-00-03-00-014-000,19980.0
4,485 Harbor Rd,"Cold Spring Harbor, NY 11724",800000,42,,,3.0,3.0,3.0,,,2.0,"Private,Attached",,1970.0,,Residential,Single Family Residence,,A,Active,,3281827,,Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,1.0,0001,38,S0400-131-00-01-00-038-000,19583.0
5,15 Grove St,"Cold Spring Harbor, NY 11724",789000,89,,,3.0,2.0,2.0,,Hardwood,1.0,"Private,Detached",,1934.0,,Residential,Single Family Residence,,A,Active,,3273256,,Cold Spring Harbor,,Cold Spring Harbor,,Cold Spring Harbor,,100,7000,,8072.0
6,8 Wawapek Rd,"Cold Spring Harbor, NY 11724",2995000,13,,,6.0,5.0,4.0,,Hardwood,3.0,"Private,Attached",,1959.0,,Residential,Single Family Residence,,A,Active,,3288417,"Goosehill Primary Center, Lloyd Harbor School",Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,3.75,3,6,S0400-016-00-03-00-006-000,57338.0
7,470 Woodbury Rd,"Cold Spring Harbor, NY 11724",2995000,84,,,5.0,5.0,4.0,,Hardwood,3.0,"Private,Attached",,2005.0,,Residential,Single Family Residence,,A,Active,,3274213,,Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,2.44,700,2000,,49093.0
8,4 Pegs Ln,"Cold Spring Harbor, NY 11724",1275000,53,,,4.0,4.0,3.0,,Hardwood,2.0,"Private,Attached,Driveway,Garage",,1973.0,,Residential,Single Family Residence,,A,Active,,3279463,"Goosehill Primary Center, West Side School",Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,0.46,0008,14,,21233.0
9,473 Woodbury Rd,"Cold Spring Harbor, NY 11724",10500000,99,,,11.0,10.0,8.0,,Hardwood,4.0,"Private,Detached,Driveway",,1934.0,,Residential,Single Family Residence,,A,Active,,2827907,West Side School,Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,23.75,200,18000,S0400-089-00-02-00-018-000,116798.0
10,4 The Commons,"Cold Spring Harbor, NY 11724",2699000,44,,,5.0,6.0,5.0,,Hardwood,3.0,"Private,Attached",,2008.0,,Residential,Single Family Residence,,A,Active,,3281385,West Side School,Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,2.0,0001,11,S0400-090-00-01-00-011-000,47161.0
11,11 Saw Mill Ln,"Cold Spring Harbor, NY 11724",4880000,99,,,5.0,5.0,3.0,,Hardwood,2.0,"Private,Attached,Driveway",,1996.0,,Residential,Single Family Residence,,A,Active,,3265360,,Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,5.0,100,6004,,45404.0
12,26 Spring Hill Rd,"Cold Spring Harbor, NY 11724",1699999,99,,,5.0,4.0,4.0,,Hardwood,2.0,"Private,Attached",,1950.0,,Residential,Single Family Residence,,A,Active,,3266260,,Cold Spring Harbor,Cold Spring Harbor High School,Cold Spring Harbor,,Cold Spring Harbor,2.36,8,6,S0400-016-00-08-00-006-000,23930.0
13,2 Walnut Tree Ln,"Cold Spring Harbor, NY 11724",4895000,7,,,5.0,6.0,5.0,,Hardwood,3.0,"Private,Attached,Driveway",,2022.0,,Residential,Single Family Residence,,A,Active,,3289686,"Goosehill Primary Center, Lloyd Harbor School",Cold Spring Harbor,,Cold Spring Harbor,,Cold Spring Harbor,2.33,3,7,,
14,Three Ponds Ln,"Woodbury, NY 11797",1850000,99,,,4.0,4.0,3.0,,"Hardwood, Wall To Wall Carpet",,Attached,,2020.0,,Residential,Condominium,,A,Active,,3257072,Walt Whitman Elementary School,Syosset,H B Thompson Middle School,Syosset,,Syosset,,,,,
