,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
0,11 Alpine Ln,"Hicksville, NY 11801",679000,2,,,5.0,3.0,3.0,,Hardwood,4.0,"Private,Attached",,1948.0,,Residential,Single Family Residence,,A,Active,,3290871,,Hicksville,,Hicksville,,Hicksville,0.16,,,,11500.0
1,190 5th St,"Hicksville, NY 11801",899999,2,,,4.0,4.0,3.0,,Hardwood,1.0,"Private,Attached",,2014.0,,Residential,Single Family Residence,,A,Active,,3290855,Burns Avenue School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.13,88,122,N2489-45-088-00-0122-0,19100.0
2,6 Story Ln,"Hicksville, NY 11801",529999,6,,,4.0,2.0,2.0,,,1.0,"Private,Attached",,1951.0,,Residential,Single Family Residence,,A,Active,,3289894,,Hicksville,,Hicksville,,Hicksville,0.17,475,2,N2489-46-475-00-0002-0,5846.0
3,35 Briggs St,"Hicksville, NY 11801",539999,1,,,3.0,1.0,1.0,,Hardwood,1.0,"Private,Detached",,1956.0,,Residential,Single Family Residence,,A,Active,,3271372,,Hicksville,,Hicksville,,Hicksville,0.11,319,12,N2489-12-319-00-0012-0,10856.0
4,3 Mayflower Dr,"Hicksville, NY 11801",799999,6,,,4.0,3.0,3.0,,,1.0,"Private,Attached",,1953.0,,Residential,Single Family Residence,,A,Active,,3289896,,Hicksville,,Hicksville,,Hicksville,0.14,515,20,N2489-46-515-00-0020-0,11056.0
5,162 Scooter Ln,"Hicksville, NY 11801",479000,29,,,4.0,2.0,2.0,,,,"Private,Driveway,On Street",,1951.0,,Residential,Single Family Residence,,A,Active,,3283129,,Hicksville,,Hicksville,,Hicksville,0.14,472,37,N2489-46-472-00-0037-0,11506.0
6,35 Pewter Ln,"Hicksville, NY 11801",659000,5,,,5.0,2.0,2.0,,,1.0,"Private,Attached",,1948.0,,Residential,Single Family Residence,,A,Active,,3290238,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.14,288,18,N2489-45-288-00-0018-0,11322.0
7,144 5th St,"Hicksville, NY 11801",669000,3,,,4.0,2.0,2.0,,"Hardwood, Wall To Wall Carpet",1.0,"Private,Detached",,1928.0,,Residential,Single Family Residence,,A,Active,,3290797,,Hicksville,,Hicksville,,Hicksville,0.09,270,47,N2489-46-270-00-0047-0,7276.0
8,41 Pewter Ln,"Hicksville, NY 11801",545000,1,,,4.0,2.0,1.0,,,,Private,,1948.0,,Residential,Single Family Residence,,A,Active,,3291196,,Hicksville,,Hicksville,,Hicksville,0.14,288,16,N2489-45-288-00-0016-0,12193.0
9,4 Robin Ct,"Hicksville, NY 11801",759000,26,,,5.0,3.0,2.0,,,,Private,,1978.0,,Residential,Single Family Residence,,A,Active,,3285574,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.16,78,291,N2489-45-078-00-0291-0,10828.0
10,12 Admiral Ln,"Hicksville, NY 11801",524900,99,,,5.0,2.0,2.0,,Hardwood,1.0,"Private,Attached",,1953.0,,Residential,Single Family Residence,,A,Active,,3260038,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.14,354,13,N2489-45-354-00-0013-0,11187.0
11,66 Bridle Ln,"Hicksville, NY 11801",580000,28,,,3.0,2.0,2.0,,,2.0,"Private,Attached,Driveway,Garage",,1948.0,,Residential,Single Family Residence,,A,Active,,3285068,Old Country Road School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.14,364,9,N2489-45-364-00-0009-0,10686.0
12,35 Woodbine Dr S,"Hicksville, NY 11801",599000,18,,,3.0,2.0,2.0,,,1.0,"Attached,Driveway",,1952.0,,Residential,Single Family Residence,,A,Active,,H6094186,Call Listing Agent,Bethpage,John F Kennedy Middle School,Bethpage,,Bethpage,0.15,,,,11845.0
13,9 Michigan Dr,"Hicksville, NY 11801",739999,22,,,5.0,4.0,4.0,,Hardwood,1.0,"Private,Detached",,1953.0,,Residential,Single Family Residence,,A,Active,,3286295,Charles Campagne School,Bethpage,John F Kennedy Middle School,Bethpage,,Bethpage,0.21,520,3,N2489-46-520-00-0003-0,14033.0
14,11 Verbena Ct,"Hicksville, NY 11801",795000,6,,,4.0,4.0,4.0,,,2.0,"Private,Detached",,1955.0,,Residential,Single Family Residence,,A,Active,,3289895,,Hicksville,,Hicksville,,Hicksville,0.21,438,18,N2489-12-438-00-0018-0,11186.0
15,18 Boulevard Dr,"Hicksville, NY 11801",874000,60,,,4.0,4.0,3.0,,Hardwood,,"Private,Driveway,On Street",,1952.0,,Residential,Single Family Residence,,A,Active,,3277722,,Hicksville,,Hicksville,,Hicksville,0.21,509,7,N2489-45-509-00-0007-0,10654.0
16,45 Edward Ave,"Hicksville, NY 11801",599000,7,,,3.0,3.0,2.0,,Wall To Wall Carpet,1.0,"Private,Attached,Driveway",,1955.0,,Residential,Single Family Residence,,A,Active,,3289539,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.16,284,54,,13706.0
17,34 Meeting Ln,"Hicksville, NY 11801",519999,99,,,4.0,2.0,2.0,,,,Private,,1948.0,,Residential,Single Family Residence,,A,Active,,3259223,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.15,287,35,N2489-45-287-00-0035-0,11115.0
18,61 McAlester Ave,"Hicksville, NY 11801",599999,99,,,5.0,2.0,2.0,,Wall To Wall Carpet,,Private,,1952.0,,Residential,Single Family Residence,,A,Active,,3252288,Old Country Road School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.15,350,12,N2489-11-350-00-0012-0,11057.0
19,127 Rim Ln,"Hicksville, NY 11801",550000,53,,,4.0,2.0,2.0,,,,"Private,Driveway",,1948.0,,Residential,Single Family Residence,,A,Active,,3279368,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.14,,,,11188.0
20,97 Lee Ave,"Hicksville, NY 11801",597997,83,,,3.0,2.0,2.0,,Hardwood,,"Private,Driveway",,1950.0,,Residential,Single Family Residence,,A,Active,,3274398,,Hicksville,,Hicksville,,Hicksville,0.14,363,18,N2489-46-363-00-0018-0,14387.0
21,49 Lehigh Ln,"Hicksville, NY 11801",850000,12,,,3.0,3.0,2.0,,,1.0,"Private,Attached,Detached",,1954.0,,Residential,Single Family Residence,,A,Active,,3288632,,Hicksville,,Hicksville,,Hicksville,0.14,415,18,N2489-12-415-00-0018-0,10259.0
22,8 Evers St,"Hicksville, NY 11801",629000,99,,,3.0,2.0,2.0,,,,"Private,Driveway",,1955.0,,Residential,Single Family Residence,,A,Active,,3252921,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.15,421,11,N2489-11-421-00-0011-0,9000.0
23,26 Bamboo Ln,"Hicksville, NY 11801",578000,43,,,4.0,2.0,2.0,,Hardwood,1.0,"Private,Attached",,1950.0,,Residential,Single Family Residence,,A,Active,,3281512,,Hicksville,,Hicksville,,Hicksville,0.14,365,12,N2489-45-365-00-0012-0,9647.0
24,15 Liszt St,"Hicksville, NY 11801",938888,99,,,4.0,3.0,2.0,,Wall To Wall Carpet,,"Private,Driveway",,2008.0,,Residential,Single Family Residence,,A,Active,,3249458,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.14,103,65,N2489-12-103-00-0065-0,14000.0
25,179 W Marie St,"Hicksville, NY 11801",539000,2,,,2.0,1.0,1.0,,Hardwood,1.0,"Private,Detached,Common,Driveway",,1916.0,,Residential,Single Family Residence,,A,Active,,3290861,,Hicksville,,Hicksville,,Hicksville,0.13,323,78,,8186.0
26,51 Salem Rd,"Hicksville, NY 11801",570999,3,,,4.0,2.0,2.0,,Hardwood,1.0,"Private,Attached,Driveway,On Street",,1954.0,,Residential,Single Family Residence,,A,Active,,3290695,Fork Lane School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.18,474,13,N2489-45-474-00-0013-0,9359.0
27,11 Spruce St,"Hicksville, NY 11801",479999,54,,,3.0,1.0,1.0,,,1.0,"Private,Detached",,1926.0,,Residential,Single Family Residence,,A,Active,,3279138,,Hicksville,,Hicksville,,Hicksville,0.09,252,52,N2489-12-252-00-0052-0,10243.0
28,42 Cloister Ln,"Hicksville, NY 11801",599000,8,,,4.0,2.0,2.0,,,1.0,"Private,Attached,Driveway",,1951.0,,Residential,Single Family Residence,,A,Active,,3289252,,Hicksville,,Hicksville,,Hicksville,0.14,469,12,N2489-46-469-00-0012-0,12978.0
29,8 Gardenia Ln,"Hicksville, NY 11801",700000,8,,,3.0,3.0,2.0,,"Hardwood, Wall To Wall Carpet",,"None,Carport,Covered,Driveway,On Street",,1955.0,,Residential,Single Family Residence,,A,Coming_Soon,,3289378,Woodland Avenue School,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.16,462,8,N2489-12-462-00-0008-0,9636.0
30,11 Friendly Rd,"Hicksville, NY 11801",549999,61,,,4.0,2.0,2.0,,Hardwood,,"Private,Driveway",,1952.0,,Residential,Single Family Residence,,A,Active,,3277587,,Hicksville,,Hicksville,,Hicksville,0.16,295,7,N2489-45-295-00-0007-0,9310.0
31,6 Mineola Ave,"Hicksville, NY 11801",799000,50,,,6.0,2.0,2.0,,Hardwood,,Private,,1955.0,,Residential,Single Family Residence,,A,Active,,3279905,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.23,193,113,N2489-46-193-00-0113-0,14513.0
32,133 Wilfred Blvd,"Hicksville, NY 11801",849000,51,,,5.0,2.0,2.0,,,,Private,,1955.0,,Residential Income,Multi Family,,A,Active,,3279690,Woodland Avenue School,Hicksville,,Hicksville,,Hicksville,0.11,151,52,N2489-12-151-00-0052-0,14056.0
33,182 Plainview Rd,"Hicksville, NY 11801",579000,8,,,4.0,2.0,2.0,,Hardwood,2.0,"Private,Detached",,1938.0,,Residential,Single Family Residence,,A,Active,,3289434,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.13,244,101,N2489-12-244-00-0101-0,8104.0
34,9 Gardenia Ln,"Hicksville, NY 11801",699888,34,,,3.0,3.0,2.0,,Hardwood,1.0,"Private,Attached",,1955.0,,Residential,Single Family Residence,,A,Active,,3283770,,Hicksville,Hicksville Middle School,Hicksville,,Hicksville,0.16,,,,7556.0
