,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
0,19 Irma Ave,"Port Washington, NY 11050",719000,4,,,3.0,2.0,2.0,,,1.0,"Private,Detached,Storage",,1915.0,,Residential,Single Family Residence,,A,Active,,3290621,John Philip Sousa Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.07,G,128,N2289-05-G-00-0128-0,14911.0
1,38 Davis Rd,"Port Washington, NY 11050",989000,4,,,3.0,3.0,3.0,,Hardwood,2.0,"Private,Detached",,1924.0,,Residential,Single Family Residence,,A,Active,,3290674,John Philip Sousa Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.11,91,94,N2289-05-091-00-0094-0,15602.0
2,86 Highland Ave,"Port Washington, NY 11050",869000,6,,,3.0,2.0,2.0,,,2.0,"Private,Detached",,1928.0,,Residential,Single Family Residence,,A,Active,,3289830,Guggenheim Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.09,19,596,,16473.0
3,57 Harbor Hills Dr,"Port Washington, NY 11050",788000,18,,,3.0,2.0,2.0,,,1.0,"Private,Detached,Driveway",,1950.0,,Residential,Single Family Residence,,A,Active,,3287366,Guggenheim Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.14,3,43,N2289-04-003-00-0043-0,15669.0
4,2 South St,"Port Washington, NY 11050",559900,99,,,4.0,3.0,3.0,,"Hardwood, Wall To Wall Carpet",,Private,,1920.0,,Residential,Single Family Residence,,A,Active,,3248960,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.08,131,10,N2289-05-131-00-0010-0,16327.0
5,1 Sandy Hollow Rd,"Port Washington, NY 11050",849999,35,,,4.0,3.0,2.0,,Hardwood,2.0,"Attached,Off Street",,1738.0,,Residential,Single Family Residence,,A,Active,,H6092639,Call Listing Agent,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.26,,,2289-05-003-00-0001-0,16118.0
6,4 Derby Rd,"Port Washington, NY 11050",789000,21,,,4.0,2.0,2.0,,,,"Private,Driveway,No Garage",,1938.0,,Residential,Single Family Residence,,A,Active,,3286685,South Salem Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.22,147,46,,19065.0
7,89 Park Ave,"Port Washington, NY 11050",799000,1,,,3.0,2.0,2.0,,,1.0,"Private,Detached",,1927.0,,Residential,Single Family Residence,,A,Active,,3291494,Guggenheim Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.11,17,40,N2289-06-017-00-0040-0,16492.0
8,20 Willow Dr,"Port Washington, NY 11050",1950000,18,,,5.0,3.0,2.0,,Hardwood,2.0,"Private,Attached",,1929.0,,Residential,Single Family Residence,,A,Active,,3287371,,Port Washington,,Port Washington,,Port Washington,0.25,110,27,,16879.0
9,25 Lowell Rd,"Port Washington, NY 11050",1199000,99,,,4.0,3.0,2.0,,,,Private,,1941.0,,Residential,Single Family Residence,,A,Active,,3270818,,Port Washington,,Port Washington,,Port Washington,0.18,47,125,N2289-06-047-00-0125-0,14826.0
10,11 Orchard St,"Port Washington, NY 11050",929000,28,,,4.0,3.0,2.0,,Hardwood,2.0,"Private,Attached,Driveway",,2005.0,,Residential,Single Family Residence,,A,Active,,3285145,John J Daly Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.13,33,117,,22615.0
11,19 W Shore Dr,"Port Washington, NY 11050",795000,99,,,3.0,3.0,2.0,,Hardwood,1.0,"Private,Garage",,1956.0,,Residential,Single Family Residence,,A,Active,,3269210,John J Daly Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.33,,,,18500.0
