,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
0,8829 183rd St,"Jamaica, NY 11423",250000,118,,,,,,,,,"Garage, Garage Detached",,1930.0,,Single Family Home,,,,,,10952109,,,,,,,,,,,
1,14009 14th Ave,"Flushing, NY 11357",1379888,126,,,,,,,,,On Street,,1920.0,,Single Family Home,,,,,,,,,,,,,,,,,
2,43-20 219th St,"Bayside, NY 11361",879000,64,,,,,,,,,,,1920.0,,Single Family Home,,,,,,,,,,,,,,,,,
3,112-50 Northern Blvd #6B,"Corona, NY 11368",195000,35,,,2.0,1.0,1.0,,Hardwood,,"Garage,Off Street,Waitlist",,1953.0,,Residential,Stock Cooperative,,A,Active,,3283435,,Queens 24,,Queens 24,,Queens 24,,,,,966.0
4,163-45 Cross Bay Blvd,"Howard Beach, NY 11414",185000,99,,,3.0,2.0,1.0,,,,None,,1984.0,,Residential,Single Family Residence,,A,Active,,3225312,,Queens 27,,Queens 27,,Queens 27,,,,,
5,5816 220th St,"Bayside Hills, NY 11364",1058000,5,,,,,,,,,"Garage, Garage Attached",,1935.0,,Single Family Home,,,,,,,,,,,,,,,,,
6,21719 Hempstead Ave,"Jamaica, NY 11429",579000,21,,,,,,,,,"Garage, Carport, Garage Attached, Off Street",,1960.0,,Single Family Home,,,,,,,,,,,,,,,,,
7,209-15 18th Ave #5F,"Bayside, NY 11360",340000,19,,,3.0,2.0,1.0,,Wall To Wall Carpet,,"Assigned,Attached,Parking Lot",,1960.0,,Residential,Stock Cooperative,,A,Active,,3287244,"Ps 130, Ps 169 Bay Terrace",Queens 25,,Queens 25,,Queens 25,,,,,
8,65-01 77th St,"Middle Village, NY 11379",680000,13,,,3.0,2.0,1.0,,,1.0,"Private,Detached,Driveway,Garage",,1940.0,,Residential,Single Family Residence,,A,Active,,3288380,,Queens 24,,Queens 24,,Queens 24,0.04,3038,88,Q03038-0088,7097.0
9,60-18 77th St,"Middle Village, NY 11379",989000,4,,,3.0,3.0,2.0,,Hardwood,,"Private,Driveway,On Street",,1950.0,,Residential,Single Family Residence,,A,Active,,3290465,,Queens 24,,Queens 24,,Queens 24,0.04,,,,8216.0
10,10218 Russell St,"Jamaica, NY 11414",329000,99,,,2.0,2.0,1.0,,,,"Private,No Garage",,1925.0,,Residential,Single Family Residence,,A,Active,,3204463,,Queens 27,,Queens 27,,Queens 27,0.03,14238,1046,Q14238-1046,2100.0
11,104-54 164th St,"Jamaica, NY 11433",310000,85,,,,,,,,,,,,,Single Family Home,,,,,,10730457,,,,,,,,,,,
